,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,neutral_site_False,neutral_site_True,week
73,0.477726575,0.313465784,0.465116279,0.363636364,0.274489251,0.428015564,0.196428571,0.368716172,0.443669253,0.39679456,0.206896552,0.410068855,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
74,0.338709677,0.326710817,0.453488372,0.545454545,0.44340997,0.433122568,0.517094017,0.50630306,0.549219849,0.205154998,0.384615385,0.149736657,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
75,0.565284178,0.665930831,0.569767442,0.363636364,0.155430226,0.447018369,0.305555556,0.349929182,0.027525393,0.353396029,0.454545455,0.108548358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
76,0.462365591,0.235467255,0.447674419,0.181818182,0.346697489,0.712769721,0.104761905,0.792110866,0.329289814,0.621137483,0.052631579,0.613436454,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
77,0.486943164,0.380426784,0.459302326,0.454545455,0.861462824,0.229925716,0.366666667,0.486128019,0.441483827,0.518349259,0.536585366,0.497806858,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
78,0.53609831,0.494481236,0.680232558,0.272727273,0.702155961,0.31614786,0.594594595,0.383387966,0.417777031,0.433522045,0.378378378,0.396912501,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
79,0.689708141,0.312729948,0.226744186,0.454545455,0.379161638,0.312635106,0.420138889,0.334261329,0.403276948,0.496342738,0.529411765,0.397858104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
80,0.639016897,0.372332597,0.48255814,0.363636364,0.284556867,0.366731518,0.458333333,0.426855815,0.360840357,0.627873563,0.3125,0.528327395,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2
81,0.271121352,0.151582046,0.453488372,0.636363636,0.231842394,0.445934876,0.096491228,0.266566073,0.294799445,0.618261292,0.102564103,0.436823761,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2
82,0.496159754,0.090507726,0.284883721,0.363636364,0.402933598,0.229925716,0.192982456,0.426842669,0.305578213,0.655172414,0.388888889,0.511348438,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
83,0.184331797,0.448859455,0.88372093,0.272727273,0.346198503,0.681474276,0.162962963,0.75699783,0.394957564,0.35209946,0.56,0.297637914,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
84,0.528417819,0.61736571,0.540697674,0.363636364,0.382959026,0.346742814,0.366666667,0.394989373,0.597664533,0.157913351,0.344827586,0.114725046,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
85,0.470046083,0.369389257,0.534883721,0.454545455,0.357510488,0.551821719,0.152777778,0.647550981,0.574916539,0.549285963,0.285714286,0.594913621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
86,0.358678955,0.543046358,0.720930233,0.363636364,0.425162054,0.674448768,0.222222222,0.764758223,0.18995593,0.655172414,0.368421053,0.446744381,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
